ID|Aktywny (0 lub 1)|Nazwa|Kategorie (x,y,z...)|Cena bez podatku. (netto)|Cena zawiera podatek. (brutto)|ID reguły podatku|Koszt własny|W sprzedaży (0 lub 1)|Wartość rabatu|Procent rabatu|Rabat od dnia (rrrr-mm-dd)|Rabat do dnia (rrrr-mm-dd)|Indeks #|Kod dostawcy|Dostawca|Marka|kod EAN13|Kod kreskowy UPC|MPN|Podatek ekologiczny|Szerokość|Wysokość|Głębokość|Waga|Czas dostawy produktów dostępnych w magazynie:|Czas dostawy wyprzedanych produktów z możliwością rezerwacji:|Ilość|Minimalna ilość|Niski poziom produktów w magazynie|Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu|Widoczność|Dodatkowe koszty przesyłki|Jednostka dla ceny za jednostkę|Cena za jednostkę|Podsumowanie|Opis|Tagi (x,y,z...)|Meta-tytuł|Słowa kluczowe meta|Opis meta|Przepisany URL|Etykieta, gdy w magazynie|Etykieta kiedy dozwolone ponowne zamówienie|Dostępne do zamówienia (0 = Nie, 1 = Tak)|Data dostępności produktu|Data wytworzenia produktu|Pokaż cenę (0 = Nie, 1 = Tak)|Adresy URL zdjęcia (x,y,z...)|Tekst alternatywny dla zdjęć (x,y,z...)|Usuń istniejące zdjęcia (0 = Nie, 1 = Tak)|Cecha(Nazwa:Wartość:Pozycja:Indywidualne)|Dostępne tylko online (0 = Nie, 1 = Tak)|Stan:|Konfigurowalny (0 = Nie, 1 = Tak)|Można wgrywać pliki (0 = Nie, 1 = Tak)|Pola tekstowe (0 = Nie, 1 = Tak)|Akcja kiedy brak na stanie|Wirtualny produkt (0 = No, 1 = Yes)|Adres URL pliku|Ilość dozwolonych pobrań|Data wygaśnięcia (rrrr-mm-dd)|Liczba dni|ID / Nazwa sklepu|Zaawansowane zarządzanie magazynem|Zależny od stanu magazynowego|Magazyn|Akcesoria (x,y,z...)
|1|Kosiarka spalinowa Sterwins PLM2-52H167.5 3.1kW 167cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa Gardenx TB53S11 2.65kW 173cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa Gardenx TB46S11 2.57kW 139cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa Gardenx TB53S11E 2.65kW 173cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa Alpina AL451SHQGCV 2.75kW 145cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa Lider WA20BS750N 2.5kW 161cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa NAC LS40-130-LI 2.3kW 131cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa Lider SH41P79 1.3kW 79.6cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa NAC LS51-173-HSD-FA 2.6kW 173cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa Gardenx TB40S04C 2.2kW 144cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
